type_key,name,function,family,base,pins,heater_v,heater_a,va_max,pa_max,gm,mu,power_out,freq_max,typical_use,equivalents,datasheet_path,datasheet_url,confidence,notes
2P29,2P29,RF/audio pentode,,,,2.2,,,,,,,,"2.2v Heaters, Audio driver, high quality, 1-2 W out. HF capable Pentode",,,,inferred,
2XX27N,2XX27N,RF pentode,,,,2.2,,,,,,,,"If you remove the aluminium screening case, you can discover a lovely valve inside.","2J27P, 2Z27,2SH7",,,inferred,Heater voltage: 2.2V | Heater current: 57mA | Anode voltage: 120V (200V maximum) | Anode current 1.9mA (2.5mA maximum) | Transconductance: 1.9mA/V
30C15,30C15,triode-pentode (frequency changer),british (Mazda/Brimar code),,,,0.3,,,,,,,The 30C15 is a triode pentode designed for frequency changer use in VHF television receivers and is the high gain version of the 30C1.,9EN7 LZ339 PCF800,,,inferred,
30C17,30C17,triode-pentode (frequency changer),british (Mazda/Brimar code),,,,0.3,,,,,,,The 30C17 is a triode variable-mu pentode designed for television frequency changer use. When introduced it was the first variable μ TV frequency changer to be available in the UK.,PCF37,,,inferred,
30F5,30F5,RF pentode,british (Mazda/Brimar code),,,,0.3,,,,,,,The 30F5 is a miniature screened pentode that was designed to operate at the standard TV intermediate frequency of 33 MHz. T,7ED7 PF818 Z329,,,inferred,
30FL1,30FL1,triode-tetrode,british (Mazda/Brimar code),,,,0.3,,,,,,,"The triode, low power beam tetrode was designed as a general purpose valve.",,,,inferred,
30FL14,30FL14,triode-tetrode,british (Mazda/Brimar code),,,,0.3,,,,,,,The 30FL14 triode pentode offers high voltage gain in a screened design. It was probably designed for VHF television use,,,,inferred,
30FL2,30FL2,triode-tetrode,british (Mazda/Brimar code),,,,0.3,,,,,,,"The 30FL2 is a television valve in a miniature envelope, the 6FL2 is identical except for the heater, which is 6.3 V at 0.5 A.  The triode, low power beam tetrode was designed as line time base and sync separator.",P728,,,inferred,
30L1,30L1,double triode / output,british (Mazda/Brimar code),,,,0.3,,,,,,,The 30L1 is a double triode developed to meet the needs of VHF band III television transmission in the 1950s. designed for cascode operation. The normal configuration was for triode one to be operated as a grounded cathode stage directly coupled to triode two connected as a grounded grid stage,,,,inferred,
30L17,30L17,double triode / output,british (Mazda/Brimar code),,,,0.3,,,,,,,,,,,inferred,
30L2,30L2,double triode / output,british (Mazda/Brimar code),,,,0.3,,,,,,,The 6/30L2 is a general purpose double triode with a screen between the sections. Their main applications are found in television receivers.,6GA8 B729 ECC804,,,inferred,
30P12,30P12,output pentode/tetrode,british (Mazda/Brimar code),,,,0.3,,,,,,,The 30P12 beam tetrode was designed as a single ended audio amplifier output valve for television receiver use or as a TV frame scan output valve.,,,,inferred,
30P4,30P4,output pentode/tetrode,british (Mazda/Brimar code),,,,0.3,,,,,,,The 30P4 from Mazda is a purpose designed line output valve. It was designed to deliver current pulses to the magnetic deflection coils wherein a linear rising magnetic field would be generated to drive the spot across the face of the tube.,"25GF6, N308",,,inferred,
30PL1,30PL1,output pentode,british (Mazda/Brimar code),,,,0.3,,,,,,,"The 30PL1 is an output pentode. Designed for use on 300 mA heater chains, normally found in domestic televisions, it can be used for audio output, with an anode load of 6,000 Ohms, or as a frame timebase stage.",,,,inferred,
30PL14,30PL14,output pentode,british (Mazda/Brimar code),,,,0.3,,,,,,,"Beam Tetrode, The 30PL14 like the 30PL13 and 30PL12 are dedicated frame output valves from the VHF TV era",,,,inferred,
31000Z,3-1000Z,power triode (transmitting),,,,7.5,,,,,,,,,,,,inferred,
3500Z,3-500Z,power triode (transmitting),,,,5.0,,,,,,,,,,,,inferred,
3C1500A7,3C1500A7,,,,,,,,,,,,,,,,,inferred,
3CX1200A7,3CX1200A7,power triode (transmitting),,,,,,,,,,,,with socket and chimney Possibly not quite right,,,,inferred,
4125A,4-125A,power tetrode (transmitting),,,,5.0,,,,,,,,,,,,inferred,
465A,4-65A,power tetrode (transmitting),,,,6.0,,,,,,,,"With Base, Eimac 4-65A Transmitting Tetrode, Anode Disspation 65W, 120W Output",,,,inferred,
4CX250B,4CX250B,power tetrode (transmitting),,,,6.0,,,,,,,,,,,,inferred,
4CX350,4CX350,power tetrode (transmitting),,,,6.0,,,,,,,,,,,,inferred,
5642,5642,,,,,,,,,,,,,"The 5642 is an EHT rectifier diode designed specifically for use in oscilloscope EHT supplies and as a measuring instrument component it is a special quality device, the naming convention clearly shows this. The consumer DY70 is closely related to this special quality professional device.",,,,inferred,
5B251,5B251,beam tetrode (transmitting),,,,6.3,,,,,,,,Equiv 5B254 - basically a minature version of an 807,807,,,inferred,
5U4C,5U4C,,american (RETMA code),,,5.0,,,,,,,,Russian 5C4S rectifier tube is equivalent to the 5Z4 / CV1863 / 5Z4GT / 5U4C.,5C4S,,,inferred,"Name: 5C4S; | Type: double-anode rectifier; | Application: alternative current rectification; | Cathode type: oxide, indirect heating; | Envelope: glass; | Mass, g: 55; | Filament voltage, V: 5; | Filament current, A: 1,8-2,2; | Anode voltage, V: 50; | Anode current, A: 0,3; | Socket type: rsh5-1; | Max.reverse anode voltage, kV: 1,35"
5U4G,5U4G,full-wave rectifier,,,,5.0,,,,,,,,,,,,inferred,
5Y3,5Y3,full-wave rectifier,,,,5.0,,,,,,,,"directly heated full wave rectifier, with inverted v's of coated tape as filaments.",,,,inferred,
6146,6146,beam tetrode (transmitting),,,,6.3,,,,,,,,,,,,inferred,
6146B,6146B,beam tetrode (transmitting),,,,6.3,,,,,,,,popular small transmitting beam tetrode valve normally used in pairs within HF transmitters of 100 W outpu,,,,inferred,
6146W,6146W,beam tetrode (transmitting),,,,6.3,,,,,,,,"6146 with performance under severe shock, military",,,,inferred,
6442,JAN 6442,,,,,,,,,,,,,with base The 6442 is a triode for grounded-grid operation. As an oscillator in a suitable cavity it can produce useful output at up to 5 GHz. This particular exhibit was employed as a driver stage in an AN/ARC-52 UHF set. The final power amplifier would have been something like a 4X150A and the modulator would be a pair of 2E26's.,,,,inferred,"For microwave pulse operation, a 2 KW pulse is possible at 3.5 GHz or a wavelength of about 9"
6AG7,6AG7,output pentode,,,,6.3,,,,,,,,Pentode: he 6AG7 is an American metal valve designed for single ended audio output stages. Probably for receiver use,CV1882 VT-247,,,inferred,
6AJ7,6AJ7,RF pentode,,,,6.3,,,,,,,,"Pentode The 6AJ7 metal pentode was made in Canada for Marconi, and designed for high gain amplification",6AC7 CV747 CV849,,,inferred,
6AS6,6AS6,RF pentode,,,,6.3,,,,,,,,The 6AS6 is a physically small amplifier pentode. It is designed for dual control and therefore the suppressor has a short grid base or control range.,409A 5725 6AS6W CV2522 CV4011,,,inferred,
6AU5GT,6AU5GT,beam pentode (line output),,,,6.3,,,,,,,,The 6AU5GT is described as a beam pentode and was designed for line output service in television receivers. An alternate design use is as a series pass device in regulated power supplies.,6AU5,,,inferred,
6AU6,6AU6,RF pentode,,,,6.3,,,,,,,,RF pentode for use up to 50 MHz.,,,,inferred,
6BA6,6BA6,variable-mu RF pentode,,,,6.3,,,,,,,,The 6BA6 is described by Brimar as a variable μ pentode for use at HF. Most probably as RF amplifiers in radio receivers.,5749 CV454 EF93 PM04 W727,,,inferred,
6BW6,6BW6,beam tetrode (output),,,,6.3,,,,,,,,"Type 6BW6 is essentially the once-ubiquitous Octal type 6V6G squeezed into a B9A envelope. The nominal ratings of the two types are identical. Not surprisingly, 6BW6s usually run (very) hot and require good ventilation if they are not to 'die' prematurely.",CV2136 CV4043,,,inferred,
6BW7,6BW7,RF pentode,,,,6.3,,,,,,,,"The 6BW7 is an internally screened pentode. It is the Brimar implementation of the standard valve, the Mullard EF80 is the more generally known type designatio",64SPT 6BX6 6F28 8D6 CV1376 EF80 Z152 Z719,,,inferred,
6C17,6C17,UHF triode,,,,6.3,,,,,,,,,6S17,,,inferred,"Type: UHF triode; | Application: Amplification and frequency conversion in UHF band; | Cathode type: oxide,indirect heating; | Envelope: metal-ceramic; | Mass, g: 5; | Filament voltage, V: 6,3; | Filament current, A: 0,27-0,33; | Anode voltage, V: 175; | Steepness, mA/V: 14; | Microphnic noise, mV: 30; | Gain: 80,0-185,0; | Socket type: coaxial."
6C19N,6C19N,triode (series regulator),,,,6.3,,,,,,,,"he 6C19N / 6S19P Vacuum tube is a Russian Audiophile glass type power triode used in high-end amplifiers. They are used in the Transcendent Sound T16 OTL power amplifers among others, which uses an incredible 16 of these 6C19N / 6S19P tubes!",6S19P,,,inferred,"The 6el9n triode is designed for operation as | MAXIMUM AND MINIMUM PERMISSIBLE RATINGS | a regulator tube in electronic voltage stabilizers. | Max Min | The 6CI9n triodes are miniature devices en | Vh 6,9 V 5.7V | closed in glass bulb and provided with a nine-pin | Va 200 V | base, rigid leads and an indirectly heated oxide | V a I 500 V | coated cathode. | Vg -200V -1,5V | The 6CI9n triodes are resistant to ambient | P 2a 7W | temperature from -60 to + 70° C and relative hu | I) When switching in with the cold tube. | midity of 95 to 98% at +40° C, as well as to | 2) At Ua=350V. | mechanical loads: vibration loads up to 2.5 g | 3) At Ua 0= 200 V. | and multiple impact loads up to 12 g. | Max | Maximum weight: 25 gr. | P 3a llW | Service life guarantee: 2000 hr. | la 140 rnA | ELECTRICAL CHARACTERISTICS | Vkh 250 V | Uh 6.3 V Rl 400 g | R 4g 0.5 MQ | Ih 1 ±O.I A Rk 95:15 mA 130 g | Tbu1b 250° | Ea 110 V la 7.5:1.5 mAN | Eg I -7 V S | I Of the grid power supply_ | INTERELECTRODE CAPACITANCES | Cg1k 6.5 pF Cg1a 8 pF | Cak 2,5 pF | MAXIMUM AND MINIMUM PERMISSIBL | The Little Dot II++ headphone amplifier and the Balanced Audio Technology REX VK-32SE preamplifier also use 6C19N / 6S19P tubes. | This tube is also used as a regulating tube in electronic voltage stabilizers and other control elements. | Electrical Data: | Heater Voltage ........................ 6.3 V | Heater Current ................... 0.3/0.15 A | Anode voltage ..........................110 V | Grid voltage ........................... -7 V | Resistance in cathode circuit: | Ohm ....................................130"
6C51HB,6C51H-B,nuvistor triode,,,,6.3,,,,,,,,,6S51N-V,,,inferred,"Triode for amplifying and generation. | Envelope: sub-miniature, metal-ceramic. | Mass 3 g. | General characteristics: | Type 6S51N 6S51N-V | Filament voltage, Volt 6.3 6.3 | Anode voltage, Volt 80 80 | Resistance in cathode circuit, Ohm 130 130 | Type 6S51N 6S51N-V | Filament (heater) current, mA 130±20 130±20 | Anode current, mA 9,5±2,8 10±2,5 | Reverse grid current, mkA -- £0,1 | Dissipate cathode-heater current, mkA £20 £20 | Mutual conductance, mA/V 7,5 to 12 11±2,5 | Gain coefficient 32±12 30±12 | Input resistance, Kohm 7 7 | Equivalent noise resistance, Ohm -- £0,4 | Vibration noise (by R | A =2 KOhm), mV £40 £40 | Inter electrode capacitance, pF: | input 4,2±1,3 4,2±0,8 | output 1,8±0,6 2,2±0,6 | transfer £2,5 1,8±0,6 | cathode-heater 1,4±0,4 1,4±0,4 | Operation time, h 5000 2000 | Limited operating values: | Type 6S51N, 6S51N-V | Filament voltage, V 5,7-7 | Anode voltage, V 120 | Grid voltage, V -55 | Cathode - heater voltage, V 100 | Cathode current, mA 15 | Anode dissipation, W 1,2 | Grid dissipation, W 0,2 | Resistance in grid circuit, MOhm 1 | Tubes temperature, ° 250 | Operating environmental conditions : | Type 6S51N 6S51N-V | Acceleration of vibration loads, g 2.5 15 | by frequencies, Hz 10-150 5-5000 | Acceleration of multiple impacts, g 35 150 | Acceleration of single impact, g -- 1000 | Continuos acceleration, g -- 150 | Ambient temperature, ° -60 to +125 -60 to +200 | Relative humidity at up to 40 °C, % 98 98"
6CZ5,6CZ5,beam pentode (output),,,,6.3,,,,,,,,,,,,inferred,
6E6PG,6E6-PG,high-gain tetrode,,,,6.3,,,,,,,,Valve 29.5 ma/V High gain tetrode. Good for HF. Audiophile. 8.5W out.,,,,inferred,
6ES8,6ES8,double triode (VHF),,,,6.3,,,,,,,,,,,,inferred,
6F1,6F1,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,The 6F1 is an amplifying pentode.,,,,inferred,
6F12,6F12,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,"high gain, high impedance, high slope, screened pentode. The 6F12 was used in the 1948 Murphy V114 television receiver for RF and IF amplification.",,,,inferred,
6F23,6F23,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,screened amplifier pentode. The presence of two cathode connections suggests an RF role where lead inductance needs to kept to a minimum.,,,,inferred,
6F25,6F25,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,The EF183 is a high gain variable μ RF amplifier pentode. It,,,,inferred,
6F26,6F26,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,The 6F26 is a VHF varible-mu pentode where the stage gain is controlled by the negative bias applied to the control grid.,EF183,,,inferred,
6F28,6F28,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,The 6F28 is an amplifier beam tetrode of high mutual conductance designed for television service and introduced by Thorn-AEI (Mazda) in 1961,30FL12 EE80,,,inferred,
6F29,6F29,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,The 6F29 is a high gain variable μ RF amplifier pentode. (40Mhz),,,,inferred,
6F30,6F30,RF pentode,british (Mazda/Brimar code),,,6.3,,,,,,,,high gain VHF pentode. The mutual conductance is 15.6.,EF184,,,inferred,
6GH8A,6GH8A,triode + pentode,,,,6.3,,,,,,,,The 6GH8A is a triode pentode with separate cathodes designed for television receiver use. The valve is specified for multivibrator-type line deflection oscillators and/or AGC amplifier and sync-separator functions.,6EA8,,,inferred,
6H1NE8,6H1N-E8,double triode,,,,6.3,,,,,,,,,6n1p,,,inferred,"μ = 35 | Ia = 7.5 mA | S = 4.35 mA/V | Pa = 2.2 W | The 6N1P has similar ratings to the 6DJ8 and in the past was sometimes rebranded as such, however differences between the two types (the 6N1P requires almost twice the filament current and has only one third the S value) mean they are not directly interchangeable. The S is about 4.35 ma/V, the 6DJ8/ECC88 has a S of 12.5 ma/V and a gain of 33 and a lower internal resistance. However, the 6N1P is typically more linear for a given load. It is therefore inaccurate to say that these two tubes are identical. The correct Russian equivalent to the 6DJ8/ECC88 is the 6N23P, the latter has a S of 12.5 mA/V and a gain of 33."
6H2N,6H2N,double triode,,,,6.3,,,,,,,,"The 6N2P, (Russian: 6Н2П), also sometimes spelled in English ""6H2Pi"", is a miniature 9-pin dual triode vacuum tube manufactured in USSR, Russia and China with characteristics similar to the 12AX7. The most significant difference between the two is that 6N2P has its two filament elements connected in parallel, unlike the series filament connection of the 12AX7, and it is thus only possible to operate it from a 6.3 volt, 340 mA filament supply (whereas a 12AX7 may be operated from either 6.3 or 12.6 volts, at 300 mA or 150 mA, respectively.)",6N2P,,,inferred,
6J1P,6J1P,RF pentode,,,,6.3,,,,,,,,"The 6j1p is a high frequency pentode valve manufactured by the Voskhod factory in Russia. It is a seven-pin electronic component requiring a B7G base socket for connection, and 6.3 V for the heater filament. Using a 6j1p pentode as a triode is a very simple task, but unfortunately very few people understand how a pentode operates, however you might be wondering why use pentodes at all in the first place. Triodes are getting expensive due to their ever-dwindling stocks, and looking on eBay, the cost of a ECC81, ECC82, ECC83, and ECC85 has sky rocketed. However just recently I came across a cheap valve 6j1p selling for just one pound. It is very similar to the Russian 6z1p pentode and I was intrigued because there must be a factory out there making them!",,,,inferred,
6J5,6J5,triode,,,,6.3,,,,,,,,"VT-94 / 6J5 is a classic general purpose triode design that is an improved version of the original 6C4 from RCA, and appears in many envelope shapes. In dual form the 6J5 becomes the 6SN7 double audio triode.",6C5 CV1933 VT-94,,,inferred,
6J6A,6J6A,double triode (VHF),,,,6.3,,,,,,,,,,,,inferred,
6J9P,6J9P,RF pentode,,,,6.3,,,,,,,,"Equiv E180F, HF Pentode, 6.3V",,,,inferred,
6K7,6K7,variable-mu RF pentode,,,,6.3,,,,,,,,The 6K7 pentode was designed for intermediate frequency amplifiers in 'modern' superhet type receivers during the mid 1930s.,,,,inferred,
6N1N,6N1N,beam tetrode (output),,,,6.3,,,,,,,,"The 6P1P (Russian: 6П1П) is a Soviet-made miniature 9-pin beam tetrode vacuum tube with ratings similar to the 6AQ5, EL90 and the 6V6. Because of a different pinout (a 9-pin base versus 7-pin base) than an 6AQ5/EL90, it cannot be used as a plug-in replacement for these types; however, it will work in the same circuit with component values unchanged. Its maximum plate/screen voltage and dissipation ratings are actually slightly higher than a 6AQ5. A ruggedized/extended ratings version of the tube is designated 6P1P-EV (Russian: 6П1П-ЕВ), roughly equivalent to the 6AQ5W. A Chinese-manufactured version of the tube also exists, labeled 6P1.",6p1p,,,inferred,
6N2P,6N2P,double triode,,,,6.3,,,,,,,,"Dual Triode, 6.3V heater, like 12AX7 - with slight differences in pins.",,,,inferred,
6P14P,6P14P,output pentode/beam tetrode,russian,,,6.3,,,,,,,,,EL84 Equiv,,,inferred,
6SK7,6SK7,variable-mu RF pentode,,,,6.3,,,,,,,,The 6SK7 is a variable μ pentode for RF and IF amplifiers in superhet receivers. Essentially the S stands for single ended so the 6K7 had a top cap and this later development did not.,CV1981 VT-117,,,inferred,
6SN7,6SN7,double triode,,,,6.3,,,,,,,,The 6SN7GT is a British made glass tubular version of this much loved double triode valve from the 1940's.,13D2 B65 CV1988 VT-231,,,inferred,
6V6,6V6,beam tetrode (output),,,,6.3,,,,,,,,Beam Tetrode: he 6V6 family came in many constructions and were very popular as the final audio stage of broadcast receivers.,CV510 VT-107,,,inferred,
6X4,6X4,full-wave rectifier,,,,6.3,,,,,,,,"The 6X4 is a miniature HT rectifier following the normal pattern for a full wave device in that a common cathode is employed. At 325-0-325 input to the rectifier this will give an HT rail higher than is required for most domestic receivers. Use for audio amplifiers and small transmitters is most probable, or driven at 250 Volts for radio receivers.",6063 CV493 EZ90 U78,,,inferred,
726A,726A,reflex klystron,,,,6.3,,,,,,,,Klystron This reflex klystron was designed for microwave RF generation of about 20 mW about 9.7 GHz. It produces a continuous output and can be modulated for communications use. The output power is taken from the probe by passing the tip into waveguide. The base for this valve is special but an International Octal holder with pin four drilled out is equivalent.,,,,inferred,
7289,JAN 7289,UHF ceramic triode,,,,6.3,,,,,,,,"UHF Hi Mu Ceramic Triode, 6.3V at 1Amp 1KV, O/P around 50W good to 23CM and above",2c39A,,,inferred,
75C1,75C1,voltage stabiliser (cold cathode),,,,,,,,,,,,The 75C1 is a high stability voltage stabiliser. The output voltage is 75 Volts and for currents of 2 - 60 mA the regulation is between 5 and 8 Volts.,,,,inferred,
7609,JAN 7609,,,,,,,,,,,,,withbase Rugged version 4cx150D,,,,inferred,
7A7,7A7,variable-mu RF pentode,,,,7.0,,,,,,,,Vacuum Pentode RF/IF-Stage Controlling (mu),7A7 = 7A7E = CV877,,,inferred,
807,807,beam tetrode (transmitting),,,,6.3,,,,,,,,,,,,inferred,
811,811,power triode (transmitting),,,,6.3,,,,,,,,,,,,inferred,
813,813,beam tetrode (transmitting),,,,10.0,,,,,,,,,,,,inferred,
8136,8136,beam tetrode,,,,6.3,,,,,,,,The 8136 is a beam tetrode from the American General Electric corporation but is referred to as a pentode.,,,,inferred,
8D3,8D3,RF pentode,,,,6.3,,,,,,,,"(EF91) universal amplifier pentode of the post war era, many manufacturers made versions of this standard valve. The version shown here was made by Brimar and is labelled for commercial use. The EF91 is a high gain, high impedance, sharp cut-off, screened pentode. It could be used from AF to VHF up to about 200 MHz and was found in large numbers in most types of electronic equipment.",,,,inferred,
ACT22,ACT 22,power triode (UHF),,,,,,,,,,,,"UHF to about 30CM, Triode, Air cooled, good for a KW or so",RV1493,,,inferred,
BVA267,BVA 267,signal diode,european (Mullard/Philips code),,,,0.18,,,,,,,the EL33 audio output valve is the little brother of the EL37 with which it shares pin connections. Mullard describe this valve as a high sensitivity output pentode for use in AC mains equipment. The EL33 could be used in push pull to deliver 8 Watts,BVA267 = EL33 = BVA264 = BVA265,,,inferred,
CF15N2,CF15N-2,voltage stabiliser (cold cathode),,,,,,,,,,,,"Striking voltage: 160V min,",SG15P,,,inferred,"Operating voltage : 105V (102-110V), | Operating current: 5mA to 30mA."
CV124,CV124,beam tetrode (transmitting),,,,6.3,,,,,,,,he CV124 beam tetrode valve is unusual in being designated as current production in the 1960s and having a five pin base. The commercial equivalent was the classic 807.,807,,,inferred,
CV1375,CV1375,variable-mu RF pentode,,,,6.3,,,,,,,,,,,,inferred,
CV1833,CV1833,voltage stabiliser (cold cathode),,,,,,,,,,,,cold cathode voltage stabiliser and the CV specification took the OB2 as the prototype.,,,,inferred,
CV2466,CV2466,double beam tetrode (transmitting),,,,6.3,,,,,,,,UK Government designation for the commercial QQV02-6 designed by Mullard.,,,,inferred,
CV2799,CV2799,double beam tetrode (transmitting),,,,6.3,,,,,,,,double beam transmitting tetrode.,,,,inferred,
CV287,CV287,voltage stabiliser (cold cathode),,,,,,,,,,,,miniature voltage stabiliser and its direct commercial equivalent is the QS150/15. The striking Voltage is 170 and for burning currents of 2 - 10 mA the regulation is 5 Volts.,,,,inferred,
CV320,CV320,cathode ray tube,,,,,,,,,,,,,,,,inferred,
CV4014,CV4014,RF pentode (special quality),,,,6.3,,,,,,,,"The CV4014 is a UK service designation for the civilian M8083 or 6064, this in turn is a special quality version of the EF91 CV138. The M8083 has a more rugged build than the EF91 and was designed for operation in areas of vibration especially aircraft.",,,,inferred,
CV4060,CV4060,RF pentode (special quality),,,,6.3,,,,,,,,"The CV4060 from AEI features a propane carbonised anode and dates from 1961. The commercial version is the S11E12. The screen grid is visible and is seen to be of wire stretched between side rods, the wire runs flat across the cathode. This valve was a purpose built series voltage regulator and so designed for a hard service life whilst supplying a regulated voltage to other stages in professional equipment.",7971 CV4060 CV8077 L.5B/280K,,,inferred,
CV5215,CV5215,triode + pentode,,,,6.3,,,,,,,,The CV5215 is a UK government code for the ECF80. The triode is the oscillator and has to produce 5 V pk-pk signal. The screened pentode is the mixer. The valve has two cathode connections so that the two valves can be used separately if required.,6BL8 6C16 ECF80,,,inferred,
D77,D77,diode,british (GEC/Osram code),,,,,,,,,,,"The D77 is the Marconi equivalent of the Mullard EB91, and consists of two separate signal diodes in the envelope",,,,inferred,
DAF96,DAF96,signal diode + pentode,european (Mullard/Philips code),,,1.4,,,,,,,,"Detector, First Audio stage, Low Current consumption",,,,inferred,
DF96,DF96,pentode,european (Mullard/Philips code),,,1.4,,,,,,,,"Pentode, IF Amplifier, Low Current Consumption",,,,inferred,
DH77,DH77,hexode/heptode,european (Mullard/Philips code),,,1.4,,,,,,,,The DH77 amplifier triode with twin signal diodes on a common cathode. It was designed for use in superhet receivers at the end of the IF chain and as the first audio amplifier feeding the output stage.,,,,inferred,
DK91,DK91,octode,european (Mullard/Philips code),,,1.4,,,,,,,,"miniature B7G dry battery heptode, it was designed for frequency changer use in battery portable radio receivers",,,,inferred,
DK96,DK96,octode,european (Mullard/Philips code),,,1.4,,,,,,,,"Pentode/Triode Frequency Changed, Lower Current Consumption",,,,inferred,
DL96,DL96,output pentode/tetrode,european (Mullard/Philips code),,,1.4,,,,,,,,audio output valve from Mullard's low consumption dry battery valves from 1954. The audio output is low at 0.2 Watts but considering the low filament power it is quite remarkable.,,,,inferred,
DY802,DY802,HV half-wave rectifier,european (Mullard/Philips code),,,1.4,,,,,,,,"EHT Rectitfire fro BW TV maximum PIV of 30,000 Volts and will produce an output voltage of 20,000 Volts. The maximum reservoir capacitor is 0.003 μF.",,,,inferred,
DY86,DY86,HV half-wave rectifier,european (Mullard/Philips code),,,1.4,,,,,,,,"The DY86 is a television EHT rectifier. It was designed to have its heater supply produced by an overwind on the line output transformer. The 18,000 Volt rating places this as a rectifier for medium sized monochrome televisions.",,,,inferred,
DY87,DY87,HV half-wave rectifier,european (Mullard/Philips code),,,1.4,,,,,,,,television EHT rectifier introduced in 1956,,,,inferred,
E3062,E3062,power triode (industrial),,,,,,,,,,,,"Toshiba E3062 oscillation tube for 4kw HF welding machine, Triode",,,,inferred,
E80F,E80F,,,,,,,,,,,,,"Pentode: The E80F is a Mullard special quality valve with a life longer than 10,000 hours. It was designed for audio amplifier use, normally in RC coupled designs",CV2729,,,inferred,
E83CC,E83CC,,,,,,,,,,,,,High Impedance Pre- Amplifier Triode,,,,inferred,
EA76,EA76,signal diode,european (Mullard/Philips code),,,6.3,,,,,,,,Diode: The EA76 was one of the first of the robust miniature types that were introduced by Mullard in 1950.,6489 CV469,,,inferred,
EB91,EB91,double diode,european (Mullard/Philips code),,,6.3,,,,,,,,"The EF91 is a high gain, high impedance, high slope, screened pentode. Mullard describe the EF91 as primarily intended for use as RF amplifiers or mixer valves",5A/160H 5A/160K 6AM6 6F12 8D3 CV138 HP6 SP6 Z77 D77 DD6,,,inferred,
EBF80,EBF80,double diode + pentode,european (Mullard/Philips code),,,6.3,,,,,,,,The EBF80 is a variable μ amplifier pentode and a pair of signal diodes in the one envelope. Final IF Amplifier,,,,inferred,
EBF89,EBF89,double diode + pentode,european (Mullard/Philips code),,,6.3,,,,,,,,he EBF89 features two signal diodes and a variable μ pentode in the one envelope and sharing a common cathode. The variable μ characteristic is indicative of a device designed to have its gain controlled by an AGC system.,,,,inferred,
EC86,EC86,triode,european (Mullard/Philips code),,,6.3,,,,,,,,"Grounded Grid UHF Amplifier, 400-800Mhz",,,,inferred,
EC90,EC90,triode,european (Mullard/Philips code),,,6.3,,,,,,,,,,,,inferred,
